posted_date,applied,title,company,location,salary_preview,job_link,search_criteria,hash_id
03/11/24,No,"Firmware Engineer, Memory Subsystem – New College Grad 2024",NVIDIA,"Santa Clara, CA 95051","$104,000 - $189,750 a year",https://www.indeed.com/rc/clk?jk=171dd20a3c0cc147&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,74bac91d156419122dc8079308794b04e6f375b3dd4d3e265c4186474cea7e8b
03/05/24,No,"Software Dev Engineer - Compiler, Annapurna Labs",Annapurna Labs (U.S.) Inc.,"Cupertino, CA",N/A,https://www.indeed.com/rc/clk?jk=a5df92e7e05bf589&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,d37be7d29e17da690622e6c0e51aa5e16901502e7eefe60f48d41806b973ffb0
03/07/24,No,Software Engineer/ Coder/ System Administrator,"Micro Quality Calibration, Inc.","Chatsworth, CA 91311",N/A,https://www.indeed.com/rc/clk?jk=31a4c17b805a9c4f&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,e0d87975f7bd1519cbc7ff6f0e3d538c5c4a9016d86382fc361099533bec4c54
03/08/24,No,Node.js Developer,Techiumph Technologies,"Willits, CA 95490",N/A,https://www.indeed.com/rc/clk?jk=bb65124a097d2b12&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,9e0bddef966e4ed84fa52e78b912d5bf8fbf34acc6feb13332c85a03815becf6
03/08/24,No,Augmented & Virtual Reality Engineer,CBS Television Stations,"San Francisco, CA 94111 
(Financial District area)","$130,000 - $150,000 a year",https://www.indeed.com/rc/clk?jk=41e4c55c6d5d47dc&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,8dbfcd2500c8d740c0ce07b6ac5b0006f9162ae32d9352b83a9373d12f984cb2
03/08/24,No,Junior Full Stack Developer,SpanIdea Systems,"Santa Clara, CA 95050",N/A,https://www.indeed.com/rc/clk?jk=29b1066ddda979b5&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,6fc72b4f7adc35920beddbed053cb50fca5103889f7e745bf54cca4f98ba7b84
03/12/24,No,QA Automation Engineer,Preferred Travel Group,"Newport Beach, CA 92660",$35 - $45 an hour,https://www.indeed.com/rc/clk?jk=b1cb24bd20f099ee&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,83e9e745375d57e4d52d19d26de0830beb0a306f3ea97302ce2acba014ffd67a
03/06/24,No,Streaming Media QE Web Automation Engineer,Apple,"Cupertino, CA","$114,400 - $199,500 a year",https://www.indeed.com/rc/clk?jk=f46bd0b2038f56e0&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,e778a6330f63f0feefc31433aca06c9b3c58c99592874fff04d17b51313ac6f3
02/28/24,No,Software Engineer - Data Platform,Hadrian,"Los Angeles, CA",N/A,https://www.indeed.com/rc/clk?jk=be5ffcdad76dbb80&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,2ae11f55d41418e91c134076a905d23f57ca6d9b999d71779df1fccdf7944210
03/03/24,No,Software Engineer - MapKit Developer Platform - Apple Maps,Apple,"Cupertino, CA","$138,900 - $256,500 a year",https://www.indeed.com/rc/clk?jk=137efc69ab906583&bb,14|Software Engineer|0kf%3Aexplvl(ENTRY_LEVEL)|(fulltime)|California,84fc9181c0ed8f10a49f0fb7e3b6f642297e0e13b4dfcb1db63fe6a64bfde0be
